Year,mit.NAM,mit.RSA,mit.URU,mit.ICCAT
1978,0,0,0,0
1979,0,0,0,0
1980,0,0,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,0,0,0,0
1987,0,0,0,0
1988,0,0,0,0
1989,0,0,0,0
1990,0,0,0,0
1991,0,0,0,0
1992,0,0,0,0
1993,0,0,0,0
1994,0,0,0,0
1995,0,0,0,0
1996,0,0,0,0
1997,0,0,0,0
1998,0,0,0,0
1999,0,0,0,0
2000,0,0,0,0
2001,0,0,0,0
2002,0,0,0,0
2003,0,0,0,0
2004,0,0,0,0
2005,0,0.1,0,0.01
2006,0,0.2,0,0.015
2007,0,0.3,0,0.02
2008,0,0.8,0,0.025
2009,0,0.9,0,0.045
2010,0,0.9,0,0.045
2011,0,0.9,0,0.045
2012,0,0.9,0,0.045
2013,0,0.9,1,0.06
2014,0,0.9,1,0.06
2015,0.5,0.9,1,0.06
2016,0.8,0.9,1,0.06
2017,1,0.9,1,0.1
2018,1,0.9,1,0.1
2019,1,0.9,1,0.1
2020,1,0.9,1,0.1
2021,1,0.9,1,0.1
