Year,n_hooks
1979,70494127197.3045
1980,61927369645.2655
1981,47555541512.4625
1982,78837657367.9679
1983,41653217641.6684
1984,33485731348.4606
1985,64824700122.4424
1986,78235225204.0605
1987,126878991603.266
1988,89134398945.113
1989,63388068851.573
1990,71732203671.8826
1991,62784338922.9464
1992,53597294512.2118
1993,79878044062.4466
1994,100390984345.602
1995,30448847154.3195
1996,27255953358.071
1997,24586248926.7073
1998,25805525291.102
1999,28540348520.194
2000,34814176141.9853
2001,33874812583.1915
2002,29053401197.4915
2003,41778373621.969
2004,29399339527.8134
2005,24603509851.5642
2006,33999745021.6683
2007,25885246122.164
2008,25100600451.6409
2009,18551087515.0469
2010,21582427969.9912
2011,26387154546.0736
2012,23030390803.4694
2013,25445102045.3599
2014,23560044605.8052
2015,19337088567.5776
2016,21850211271.6194
2017,25603016936.095
2018,21233871845.5367
2019,19562924717.6434
